"brewery_id"	"brewery_name"	"city"	"state"	"lon"	"lat"	"address"
400	"Macon Beer Company"	"Macon"	" GA"	-83.630159	32.828287	"3274, 345 oglethorpe st, macon, ga 31201, united states"
401	"Amnesia Brewing Company"	"Washougal"	" WA"	-122.351972	45.578277	"1834 main st, washougal, wa 98671, usa"
402	"Wolverine State Brewing Company"	"Ann Arbor"	" MI"	-83.7743996	42.269262	"2019 w stadium blvd, ann arbor, mi 48103, usa"
403	"Red Tank Cider Company"	"Bend"	" OR"	-121.294905	44.046801	"840 se woodland blvd #185, bend, or 97702, usa"
404	"Cascadia Ciderworks United"	"Portland"	" OR"	-122.6764815	45.5230622	"portland, or, usa"
405	"Fate Brewing Company"	"Boulder"	" CO"	-105.245735	40.015095	"1600 38th st, boulder, co 80301, usa"
406	"Lazy Monk Brewing"	"Eau Claire"	" WI"	-91.5090094	44.8153415	"97 w madison st, eau claire, wi 54702, usa"
407	"Bitter Root Brewing"	"Hamilton"	" MT"	-114.154306	46.247208	"101 marcus st, hamilton, mt 59840, usa"
408	"10 Barrel Brewing Company"	"Bend"	" OR"	-121.280963	44.085602	"62950 ne 18th st, bend, or 97701, usa"
409	"Tamarack Brewing Company"	"Lakeside"	" MT"	-114.2254217	48.0161512	"105 blacktail rd suite #1, lakeside, mt 59922, usa"
410	"New England Brewing Company"	"Woodbridge"	" CT"	-72.9795895	41.3392264	"175 amity rd, woodbridge, ct 06525, usa"
411	"Seattle Cider Company"	"Seattle"	" WA"	-122.3376046	47.5603272	"4700 ohio ave s, seattle, wa 98134, usa"
412	"Straight to Ale"	"Huntsville"	" AL"	-86.6071338	34.7209366	"2610 clinton ave w, huntsville, al 35805, usa"
413	"Austin Beerworks"	"Austin"	" TX"	-97.729848	30.379575	"3001 industrial terrace, austin, tx 78758, usa"
414	"Blue Mountain Brewery"	"Arrington"	" VA"	-78.9438117	37.7102102	"495 cooperative way, arrington, va 22922, usa"
415	"Coastal Empire Beer Company"	"Savannah"	" GA"	-81.124056	32.051744	"79 ross rd, savannah, ga 31405, usa"
416	"Jack's Hard Cider (Hauser Estate..."	"Biglerville"	" PA"	-77.3470839	39.9078307	"410 cashtown rd, biglerville, pa 17325, usa"
417	"Boulder Beer Company"	"Boulder"	" CO"	-105.2480565	40.0265719	"5401, 2880 wilderness pl, boulder, co 80301, united states"
418	"Coalition Brewing Company"	"Portland"	" OR"	-122.6382458	45.5224109	"2705 se ankeny st, portland, or 97214, usa"
419	"Sanitas Brewing Company"	"Boulder"	" CO"	-105.2473976	40.0217908	"3550 frontier ave, boulder, co 80301, usa"
420	"Gore Range Brewery"	"Edwards"	" CO"	-106.596242	39.643762	"105 edwards village blvd, edwards, co 81632, usa"
421	"Redstone Meadery"	"Boulder"	" CO"	-105.2436391	40.0249344	"4700 pearl st #2a, boulder, co 80301, usa"
422	"Blue Dog Mead"	"Eugene"	" OR"	-123.0974156	44.05691	"254 lincoln st, eugene, or 97401, usa"
423	"Hess Brewing Company"	"San Diego"	" CA"	-117.1285406	32.7477013	"3812 grim ave, san diego, ca 92104, usa"
424	"Wynkoop Brewing Company"	"Denver"	" CO"	-104.9984882	39.7534005	"1634 18th st, denver, co 80202, usa"
425	"Ciderboys"	"Stevens Point"	" WI"	-89.5736285	44.5103897	"2617 water st, stevens point, wi 54481, usa"
426	"Armadillo Ale Works"	"Denton"	" TX"	-97.128081	33.212759	"221 s bell ave, denton, tx 76201, usa"
427	"Roanoke Railhouse Brewery"	"Roanoke"	" VA"	-79.96301	37.243908	"3106 franklin rd sw, roanoke, va 24014, usa"
428	"Schlafly Brewing Company"	"Saint Louis"	" MO"	-90.3148823	38.6129139	"7260 southwest ave, st. louis, mo 63143, usa"
429	"Asher Brewing Company"	"Boulder"	" CO"	-105.2059203	40.0601357	"4699 nautilus ct s #104, boulder, co 80301, usa"
430	"Lost Rhino Brewing Company"	"Ashburn"	" VA"	-77.4756687	39.0160121	"21730 red rum dr #142, ashburn, va 20147, usa"
431	"North Country Brewing Company"	"Slippery Rock"	" PA"	-80.0557179	41.0637661	"141 s main st, slippery rock, pa 16057, usa"
432	"Seabright Brewery"	"Santa Cruz"	" CA"	-122.0084095	36.967518	"519 seabright ave #107, santa cruz, ca 95062, usa"
433	"French Broad Brewery"	"Asheville"	" NC"	-82.537714	35.5663119	"101 fairview rd # d, asheville, nc 28803, usa"
434	"Angry Orchard Cider Company"	"Cincinnati"	" OH"	-74.2218302	41.5872822	"2241 albany post rd, walden, ny 12586, usa"
435	"Two Roads Brewing Company"	"Stratford"	" CT"	-73.1420901	41.1856816	"1700 stratford ave, stratford, ct 06615, usa"
436	"Southern Oregon Brewing Company"	"Medford"	" OR"	-122.872676	42.329157	"315 e 5th st, medford, or 97501, usa"
437	"Brooklyn Brewery"	"Brooklyn"	" NY"	-73.9571722	40.7217239	"79 n 11th st, brooklyn, ny 11249, usa"
438	"The Right Brain Brewery"	"Traverse City"	" MI"	-85.6193922	44.7496372	"225 e sixteenth st, traverse city, mi 49684, usa"
439	"Kona Brewing Company"	"Kona"	" HI"	-155.9975113	19.6430922	"74-5612 pawai pl, kailua-kona, hi 96740, usa"
440	"MillKing It Productions"	"Royal Oak"	" MI"	-83.1438064	42.4878249	"309 s main st, royal oak, mi 48067, usa"
441	"Pateros Creek Brewing Company"	"Fort Collins"	" CO"	-105.0763719	40.5899714	"242 n college ave, fort collins, co 80524, usa"
442	"O'Fallon Brewery"	"O'Fallon"	" MO"	-90.4476821	38.7046709	"45 progress pkwy, maryland heights, mo 63043, usa"
443	"Marble Brewery"	"Albuquerque"	" NM"	-106.646727	35.092811	"111 marble ave nw, albuquerque, nm 87102, usa"
444	"Big Wood Brewery"	"Vadnais Heights"	" MN"	-93.0067399	45.0849226	"2222 4th st, white bear lake, mn 55110, usa"
445	"Howard Brewing Company"	"Lenoir"	" NC"	-81.5412228	35.9139337	"1001 west ave nw, lenoir, nc 28645, usa"
