AID	TelemDate	TimeLag	AEA_X	AEA_Y
56B	2010-04-29 09:00:00.000	60	-1072289.14649872	2492201.61265254
56B	2010-04-29 10:00:00.000	60	-1072331.16897315	2492536.16917575
56B	2010-04-29 11:00:00.000	60	-1072229.06975939	2493205.43413422
56B	2010-04-29 12:00:00.000	60	-1072379.66754831	2493772.76230538
56B	2010-04-29 13:00:00.000	60	-1072361.15530213	2493934.33686076
56B	2010-04-29 14:00:00.000	60	-1072434.31388637	2494047.26052718
56B	2010-04-29 15:00:00.000	60	-1072292.13498442	2494003.12940567
56B	2010-04-29 16:00:00.000	60	-1072238.92278039	2494001.0799281
56B	2010-04-29 17:00:00.000	60	-1072182.93525675	2494051.50348584
56B	2010-04-29 18:00:00.000	60	-1072017.3539617	2493754.2631916
56B	2010-04-29 19:00:00.000	60	-1071476.47886782	2493267.94266276
56B	2010-04-29 20:00:00.000	60	-1071406.55108366	2493171.2451594
56B	2010-04-29 21:00:00.000	60	-1071654.88158014	2491924.56486519
56B	2010-04-29 22:00:00.000	60	-1071658.01185841	2491925.01593179
56B	2010-04-29 23:00:00.000	60	-1071660.99480837	2491920.94584536
56B	2010-04-30 00:00:00.000	60	-1071653.46377062	2491928.86049461
56B	2010-04-30 01:00:00.000	60	-1071654.24633921	2491928.97326622
56B	2010-04-30 02:00:00.000	60	-1071663.64865617	2491924.70320768
56B	2010-04-30 03:00:00.000	60	-1071663.6601414	2491919.07994976
56B	2010-04-30 04:00:00.000	60	-1071666.15517712	2491923.93940712
56B	2010-04-30 05:00:00.000	60	-1071678.88108268	2491902.14856397
56B	2010-04-30 06:00:00.000	60	-1071445.24328664	2492082.23053367
56B	2010-04-30 07:00:00.000	60	-1071451.79855274	2492092.17476379
56B	2010-04-30 08:00:00.000	60	-1071454.12347556	2492103.75946673
56B	2010-04-30 09:00:00.000	60	-1071493.38211861	2492430.03273981
56B	2010-04-30 10:00:00.000	60	-1071405.12173251	2492798.67876715
56B	2010-04-30 11:00:00.000	60	-1071435.53259751	2492931.305787
56B	2010-04-30 12:00:00.000	60	-1071416.33457429	2492903.79054517
56B	2010-04-30 13:00:00.000	60	-1071253.95248938	2493160.50855514
56B	2010-04-30 14:00:00.000	60	-1071194.37379333	2493130.55143724
56B	2010-04-30 15:00:00.000	60	-1071151.88374293	2493087.30721244
56B	2010-04-30 16:00:00.000	60	-1070981.8805971	2493247.3103585
56B	2010-04-30 17:00:00.000	60	-1070873.28368371	2493308.16540154
56B	2010-04-30 18:00:00.000	60	-1070899.96446043	2493272.63517831
56B	2010-04-30 19:00:00.000	60	-1070809.3916673	2493163.97160995
56B	2010-04-30 20:00:00.000	60	-1071467.4015415	2492349.79145412
56B	2010-04-30 21:00:00.000	60	-1071713.43155434	2491773.25408883
56B	2010-04-30 22:00:00.000	60	-1071643.68093599	2491658.57943851
56B	2010-04-30 23:00:00.000	60	-1071679.21543743	2491661.44975399
56B	2010-05-01 00:00:00.000	60	-1071667.61240664	2491669.90270409
56B	2010-05-01 01:00:00.000	60	-1071677.95641552	2491664.64329383
56B	2010-05-01 02:00:00.000	60	-1071577.94268338	2491649.10745565
56B	2010-05-01 03:00:00.000	60	-1071572.39628069	2491682.05788671
56B	2010-05-01 04:00:00.000	60	-1071571.96538065	2491662.87104744
56B	2010-05-01 05:00:00.000	60	-1071448.65581959	2491709.22946828
56B	2010-05-01 06:00:00.000	60	-1071453.21623002	2491855.00892898
56B	2010-05-01 07:00:00.000	60	-1071436.96347604	2492228.40908259
56B	2010-05-01 08:00:00.000	60	-1071411.63845173	2492287.75876939
56B	2010-05-01 09:00:00.000	60	-1071653.00988861	2492303.41304838
56B	2010-05-01 10:00:00.000	60	-1071707.05125698	2492515.94621775
56B	2010-05-01 11:00:00.000	60	-1071296.96878985	2492867.46851526
56B	2010-05-01 12:00:00.000	60	-1071142.27894817	2493115.17225387
56B	2010-05-01 13:00:00.000	60	-1071313.7729797	2492994.75945832
56B	2010-05-01 14:00:00.000	60	-1071088.0071811	2493170.35144934
56B	2010-05-01 15:00:00.000	60	-1070841.16819854	2493242.79364772
56B	2010-05-01 16:00:00.000	60	-1070869.48326148	2493251.37121263
56B	2010-05-01 17:00:00.000	60	-1070739.90603112	2493236.08575562
56B	2010-05-01 18:00:00.000	60	-1070494.00879911	2493229.92886226
56B	2010-05-01 19:00:00.000	60	-1070703.34380495	2492802.21945236
56B	2010-05-01 20:00:00.000	60	-1070902.24369009	2492436.0034945
56B	2010-05-01 21:00:00.000	60	-1070964.61972251	2492479.85991735
56B	2010-05-01 22:00:00.000	60	-1070985.26793492	2492408.58651035
56B	2010-05-01 23:00:00.000	60	-1071008.04195678	2492450.11492525
56B	2010-05-02 00:00:00.000	60	-1071402.63380293	2492250.4624257
56B	2010-05-02 01:00:00.000	60	-1071406.18346389	2492275.72317163
56B	2010-05-02 02:00:00.000	60	-1071652.52970488	2492079.47335316
56B	2010-05-02 03:00:00.000	60	-1071662.59921976	2492131.54844319
56B	2010-05-02 04:00:00.000	60	-1071673.53182033	2492144.37366172
56B	2010-05-02 05:00:00.000	60	-1071664.79957366	2492127.36560992
56B	2010-05-02 06:00:00.000	60	-1070805.23498909	2493287.11604084
56B	2010-05-02 07:00:00.000	60	-1070519.91135618	2493271.90561183
56B	2010-05-02 08:00:00.000	60	-1070579.44158184	2493246.72857496
56B	2010-05-02 09:00:00.000	60	-1070678.02774495	2493260.92353729
56B	2010-05-02 10:00:00.000	60	-1070693.20024386	2493266.48307498
56B	2010-05-02 11:00:00.000	60	-1070694.80925319	2493244.21609986
56B	2010-05-02 12:00:00.000	60	-1070623.03306165	2493287.87781116
56B	2010-05-02 13:00:00.000	60	-1070708.26588249	2493405.89416634
56B	2010-05-02 14:00:00.000	60	-1070780.14484154	2493389.24664618
56B	2010-05-02 15:00:00.000	60	-1070779.49888249	2493399.27801155
56B	2010-05-02 16:00:00.000	60	-1070802.10817484	2493364.2862435
56B	2010-05-02 17:00:00.000	60	-1070532.58887372	2493272.6058827
56B	2010-05-02 18:00:00.000	60	-1070152.4010147	2493261.75098401
56B	2010-05-02 19:00:00.000	60	-1069758.11079041	2493598.73245924
56B	2010-05-02 20:00:00.000	60	-1069515.48932396	2493864.17644162
56B	2010-05-02 21:00:00.000	60	-1069169.4157571	2493788.5305
56B	2010-05-02 22:00:00.000	60	-1069252.44520674	2493833.09228767
56B	2010-05-02 23:00:00.000	60	-1069123.71951576	2493873.07512653
56B	2010-05-03 00:00:00.000	60	-1069214.4361629	2493819.75204252
56B	2010-05-03 01:00:00.000	60	-1069197.9484139	2493762.26160113
56B	2010-05-03 02:00:00.000	60	-1069200.29554288	2493762.59912227
56B	2010-05-03 03:00:00.000	60	-1069199.9886217	2493759.18032367
56B	2010-05-03 04:00:00.000	60	-1069195.92829663	2493754.09689205
56B	2010-05-03 05:00:00.000	60	-1069455.06326924	2493784.61636682
56B	2010-05-03 06:00:00.000	60	-1069766.16286141	2493897.98971393
56B	2010-05-03 07:00:00.000	60	-1069780.16025833	2493861.75713669
56B	2010-05-03 08:00:00.000	60	-1070216.02614362	2493796.24414862
56B	2010-05-03 09:00:00.000	60	-1070682.7745469	2493948.93699678
56B	2010-05-03 10:00:00.000	60	-1070969.31911456	2494121.82298555
